date,1. open,2. high,3. low,4. close,5. volume
2024-01-26,1.08,1.11,1.01,1.08,7216.0
2024-01-25,1.03,1.1099,1.03,1.1084,21311.0
2024-01-24,1.03,1.09,1.03,1.09,6152.0
2024-01-23,1.03,1.0312,0.95,1.0312,3036.0
2024-01-22,1.09,1.1086,1.05,1.05,18120.0
2024-01-19,1.05,1.1053,1.05,1.09,2345.0
2024-01-18,1.05,1.08,1.0488,1.08,2719.0
2024-01-17,1.045,1.07,1.0,1.05,19124.0
2024-01-16,1.05,1.08,0.9413,1.05,10426.0
2024-01-12,1.02,1.0799,1.02,1.06,3883.0
2024-01-11,1.0451,1.2,0.9208,1.02,55444.0
2024-01-10,1.1,1.16,1.06,1.15,11776.0
2024-01-09,1.05,1.115,1.05,1.111,1408.0
2024-01-08,1.06,1.06,1.03,1.05,17693.0
2024-01-05,1.09,1.2,1.05,1.11,13054.0
2024-01-04,1.14,1.1499,1.09,1.09,5609.0
2024-01-03,1.09,1.2342,1.04,1.04,2567.0
2024-01-02,1.15,1.15,0.9741,0.9741,15333.0
2023-12-29,1.22,1.27,1.1109,1.1597,33772.0
2023-12-28,1.18,1.18,1.0397,1.14,125516.0
2023-12-27,0.85,1.1899,0.85,1.05,89078.0
2023-12-26,0.8391,0.8688,0.8391,0.8391,6992.0
2023-12-22,0.83,0.86,0.813,0.813,2804.0
2023-12-21,0.8597,0.8597,0.81,0.81,12903.0
2023-12-20,0.85,0.85,0.83,0.83,20556.0
2023-12-19,0.8697,0.8712,0.8301,0.845,22134.0
2023-12-18,0.7887,0.849,0.7887,0.83,26318.0
2023-12-15,0.8887,0.8887,0.8502,0.8502,6655.0
2023-12-14,0.91,0.91,0.85,0.85,20722.0
2023-12-13,0.9,0.9099,0.8801,0.89,7405.0
2023-12-12,0.901,0.9228,0.88,0.89,2438.0
2023-12-11,0.85,0.9346,0.85,0.901,7137.0
2023-12-08,0.89,0.8938,0.8,0.81,20894.0
2023-12-07,0.8623,0.89,0.8523,0.89,2494.0
2023-12-06,0.81,0.9596,0.81,0.9504,19209.0
2023-12-05,0.8999,0.8999,0.85,0.85,4651.0
2023-12-04,0.8799,0.9042,0.8472,0.8899,9697.0
2023-12-01,0.86,0.87,0.8,0.86,7003.0
2023-11-30,0.83,0.879,0.83,0.879,3792.0
2023-11-29,0.8833,0.9275,0.8201,0.8796,4335.0
2023-11-28,0.87,0.9595,0.8,0.9498,3964.0
2023-11-27,0.85,0.85,0.85,0.85,3742.0
2023-11-24,0.97,0.98,0.9159,0.9249,2351.0
2023-11-22,0.9494,0.97,0.87,0.9282,2530.0
2023-11-21,0.9798,0.9798,0.91,0.91,925.0
2023-11-20,0.9293,0.9293,0.8698,0.91,2782.0
2023-11-17,0.8176,0.9298,0.8106,0.9298,2338.0
2023-11-16,0.84,0.861,0.84,0.861,3975.0
2023-11-15,0.8465,0.9388,0.8464,0.86,5195.0
2023-11-14,0.89,0.9494,0.89,0.89,5722.0
2023-11-13,0.8,0.8801,0.8,0.87,8391.0
2023-11-10,0.9492,0.9492,0.8549,0.8549,5374.0
2023-11-09,0.8798,0.8991,0.85,0.85,10752.0
2023-11-08,0.83,0.9548,0.83,0.8533,34199.0
2023-11-07,0.9201,0.995,0.9201,0.9639,1950.0
2023-11-06,1.05,1.1,0.91,0.91,3019.0
2023-11-03,1.06,1.06,0.9001,0.9896,9591.0
2023-11-02,1.05,1.06,0.88,0.95,5080.0
2023-11-01,0.983,0.983,0.89,0.96,6227.0
2023-10-31,0.926,1.0099,0.926,0.9698,2292.0
2023-10-30,1.01,1.05,0.92,1.05,6453.0
2023-10-27,1.05,1.05,0.9546,0.96,10372.0
2023-10-26,1.0,1.08,1.0,1.08,5238.0
2023-10-25,1.0202,1.065,1.02,1.02,2208.0
2023-10-24,1.02,1.0726,1.02,1.0289,7108.0
2023-10-23,1.02,1.08,1.02,1.06,1161.0
2023-10-20,1.0165,1.05,1.0165,1.05,2014.0
2023-10-19,1.1,1.12,1.0184,1.03,1676.0
2023-10-18,1.09,1.09,1.04,1.04,3241.0
2023-10-17,1.1,1.1299,1.02,1.08,2343.0
2023-10-16,1.1,1.15,1.1,1.1,1533.0
2023-10-13,1.1,1.14,1.1,1.1,8288.0
2023-10-12,1.1,1.1,1.1,1.1,3023.0
2023-10-11,1.1,1.1,1.1,1.1,2725.0
2023-10-10,1.1,1.1397,1.1,1.1,6856.0
2023-10-09,1.11,1.14,1.1,1.1,1444.0
2023-10-06,1.1,1.1396,1.1,1.1,3847.0
2023-10-05,1.1,1.14,1.1,1.1,2224.0
2023-10-04,1.12,1.12,1.1,1.1,5898.0
2023-10-03,1.1445,1.1445,1.12,1.13,4875.0
2023-10-02,1.13,1.13,1.12,1.12,2613.0
2023-09-29,1.12,1.155,1.12,1.12,1461.0
2023-09-28,1.13,1.15,1.1201,1.15,855.0
2023-09-27,1.1301,1.19,1.13,1.1301,3826.0
2023-09-26,1.1458,1.19,1.13,1.13,4444.0
2023-09-25,1.13,1.1502,1.13,1.15,3345.0
